area_type_code,area_code,area_text
F,CN1700300000000,"Alexander County, IL"
F,CN1700500000000,"Bond County, IL"
F,CN1700700000000,"Boone County, IL"
F,CN1700900000000,"Brown County, IL"
F,CN1701100000000,"Bureau County, IL"
F,CN1701300000000,"Calhoun County, IL"
F,CN1701500000000,"Carroll County, IL"
F,CN1701700000000,"Cass County, IL"
F,CN1701900000000,"Champaign County, IL"
F,CN1702100000000,"Christian County, IL"
F,CN1702300000000,"Clark County, IL"
F,CN1702500000000,"Clay County, IL"
F,CN1702700000000,"Clinton County, IL"
F,CN1702900000000,"Coles County, IL"
F,CN1703100000000,"Cook County, IL"
F,CN1703300000000,"Crawford County, IL"
F,CN1703500000000,"Cumberland County, IL"
F,CN1703700000000,"DeKalb County, IL"
F,CN1703900000000,"De Witt County, IL"
F,CN1704100000000,"Douglas County, IL"
F,CN1704300000000,"DuPage County, IL"
F,CN1704500000000,"Edgar County, IL"
F,CN1704700000000,"Edwards County, IL"
F,CN1704900000000,"Effingham County, IL"
F,CN1705100000000,"Fayette County, IL"
F,CN1705300000000,"Ford County, IL"
F,CN1705500000000,"Franklin County, IL"
F,CN1705700000000,"Fulton County, IL"
F,CN1705900000000,"Gallatin County, IL"
F,CN1706100000000,"Greene County, IL"
F,CN1706300000000,"Grundy County, IL"
F,CN1706500000000,"Hamilton County, IL"
F,CN1706700000000,"Hancock County, IL"
F,CN1706900000000,"Hardin County, IL"
F,CN1707100000000,"Henderson County, IL"
F,CN1707300000000,"Henry County, IL"
F,CN1707500000000,"Iroquois County, IL"
F,CN1707700000000,"Jackson County, IL"
F,CN1707900000000,"Jasper County, IL"
F,CN1708100000000,"Jefferson County, IL"
F,CN1708300000000,"Jersey County, IL"
F,CN1708500000000,"Jo Daviess County, IL"
F,CN1708700000000,"Johnson County, IL"
F,CN1708900000000,"Kane County, IL"
F,CN1709100000000,"Kankakee County, IL"
F,CN1709300000000,"Kendall County, IL"
F,CN1709500000000,"Knox County, IL"
F,CN1709700000000,"Lake County, IL"
F,CN1709900000000,"LaSalle County, IL"
F,CN1710100000000,"Lawrence County, IL"
F,CN1710300000000,"Lee County, IL"
F,CN1710500000000,"Livingston County, IL"
F,CN1710700000000,"Logan County, IL"
F,CN1710900000000,"McDonough County, IL"
F,CN1711100000000,"McHenry County, IL"
F,CN1711300000000,"McLean County, IL"
F,CN1711500000000,"Macon County, IL"
F,CN1711700000000,"Macoupin County, IL"
F,CN1711900000000,"Madison County, IL"
F,CN1712100000000,"Marion County, IL"
F,CN1712300000000,"Marshall County, IL"
F,CN1712500000000,"Mason County, IL"
F,CN1712700000000,"Massac County, IL"
F,CN1712900000000,"Menard County, IL"
F,CN1713100000000,"Mercer County, IL"
F,CN1713300000000,"Monroe County, IL"
F,CN1713500000000,"Montgomery County, IL"
F,CN1713700000000,"Morgan County, IL"
F,CN1713900000000,"Moultrie County, IL"
F,CN1714100000000,"Ogle County, IL"
F,CN1714300000000,"Peoria County, IL"
F,CN1714500000000,"Perry County, IL"
F,CN1714700000000,"Piatt County, IL"
F,CN1714900000000,"Pike County, IL"
F,CN1715100000000,"Pope County, IL"
F,CN1715300000000,"Pulaski County, IL"
F,CN1715500000000,"Putnam County, IL"
F,CN1715700000000,"Randolph County, IL"
F,CN1715900000000,"Richland County, IL"
F,CN1716100000000,"Rock Island County, IL"
F,CN1716300000000,"St. Clair County, IL"
F,CN1716500000000,"Saline County, IL"
F,CN1716700000000,"Sangamon County, IL"
F,CN1716900000000,"Schuyler County, IL"
F,CN1717100000000,"Scott County, IL"
F,CN1717300000000,"Shelby County, IL"
F,CN1717500000000,"Stark County, IL"
F,CN1717700000000,"Stephenson County, IL"
F,CN1717900000000,"Tazewell County, IL"
F,CN1718100000000,"Union County, IL"
F,CN1718300000000,"Vermilion County, IL"
F,CN1718500000000,"Wabash County, IL"
F,CN1718700000000,"Warren County, IL"
F,CN1718900000000,"Washington County, IL"
F,CN1719100000000,"Wayne County, IL"
F,CN1719300000000,"White County, IL"
F,CN1719500000000,"Whiteside County, IL"
F,CN1719700000000,"Will County, IL"
F,CN1719900000000,"Williamson County, IL"
F,CN1720100000000,"Winnebago County, IL"
F,CN1720300000000,"Woodford County, IL"
F,CN1800100000000,"Adams County, IN"
F,CN1800300000000,"Allen County, IN"
F,CN1800500000000,"Bartholomew County, IN"
F,CN1800700000000,"Benton County, IN"
F,CN1800900000000,"Blackford County, IN"
F,CN1801100000000,"Boone County, IN"
F,CN1801300000000,"Brown County, IN"
F,CN1801500000000,"Carroll County, IN"
F,CN1801700000000,"Cass County, IN"
F,CN1801900000000,"Clark County, IN"
F,CN1802100000000,"Clay County, IN"
F,CN1802300000000,"Clinton County, IN"
F,CN1802500000000,"Crawford County, IN"
F,CN1802700000000,"Daviess County, IN"
F,CN1802900000000,"Dearborn County, IN"
F,CN1803100000000,"Decatur County, IN"
F,CN1803300000000,"DeKalb County, IN"
F,CN1803500000000,"Delaware County, IN"
F,CN1803700000000,"Dubois County, IN"
F,CN1803900000000,"Elkhart County, IN"
F,CN1804100000000,"Fayette County, IN"
F,CN1804300000000,"Floyd County, IN"
F,CN1804500000000,"Fountain County, IN"
F,CN1804700000000,"Franklin County, IN"
F,CN1804900000000,"Fulton County, IN"
F,CN1805100000000,"Gibson County, IN"
F,CN1805300000000,"Grant County, IN"
F,CN1805500000000,"Greene County, IN"
F,CN1805700000000,"Hamilton County, IN"
F,CN1805900000000,"Hancock County, IN"
F,CN1806100000000,"Harrison County, IN"
F,CN1806300000000,"Hendricks County, IN"
F,CN1806500000000,"Henry County, IN"
F,CN1806700000000,"Howard County, IN"
F,CN1806900000000,"Huntington County, IN"
F,CN1807100000000,"Jackson County, IN"
F,CN1807300000000,"Jasper County, IN"
F,CN1807500000000,"Jay County, IN"
F,CN1807700000000,"Jefferson County, IN"
F,CN1807900000000,"Jennings County, IN"
F,CN1808100000000,"Johnson County, IN"
F,CN1808300000000,"Knox County, IN"
F,CN1808500000000,"Kosciusko County, IN"
F,CN1808700000000,"LaGrange County, IN"
F,CN1808900000000,"Lake County, IN"
F,CN1809100000000,"LaPorte County, IN"
F,CN1809300000000,"Lawrence County, IN"
F,CN1809500000000,"Madison County, IN"
F,CN1809700000000,"Marion County, IN"
F,CN1809900000000,"Marshall County, IN"
F,CN1810100000000,"Martin County, IN"
F,CN1810300000000,"Miami County, IN"
F,CN1810500000000,"Monroe County, IN"
F,CN1810700000000,"Montgomery County, IN"
F,CN1810900000000,"Morgan County, IN"
F,CN1811100000000,"Newton County, IN"
F,CN1811300000000,"Noble County, IN"
F,CN1811500000000,"Ohio County, IN"
F,CN1811700000000,"Orange County, IN"
F,CN1811900000000,"Owen County, IN"
F,CN1812100000000,"Parke County, IN"
F,CN1812300000000,"Perry County, IN"
F,CN1812500000000,"Pike County, IN"
F,CN1812700000000,"Porter County, IN"
F,CN1812900000000,"Posey County, IN"
F,CN1813100000000,"Pulaski County, IN"
F,CN1813300000000,"Putnam County, IN"
F,CN1813500000000,"Randolph County, IN"
F,CN1813700000000,"Ripley County, IN"
F,CN1813900000000,"Rush County, IN"
F,CN1814100000000,"St. Joseph County, IN"
F,CN1814300000000,"Scott County, IN"
F,CN1814500000000,"Shelby County, IN"
F,CN1814700000000,"Spencer County, IN"
F,CN1814900000000,"Starke County, IN"
F,CN1815100000000,"Steuben County, IN"
F,CN1815300000000,"Sullivan County, IN"
F,CN1815500000000,"Switzerland County, IN"
F,CN1815700000000,"Tippecanoe County, IN"
F,CN1815900000000,"Tipton County, IN"
F,CN1816100000000,"Union County, IN"
F,CN1816300000000,"Vanderburgh County, IN"
F,CN1816500000000,"Vermillion County, IN"
F,CN1816700000000,"Vigo County, IN"
F,CN1816900000000,"Wabash County, IN"
F,CN1817100000000,"Warren County, IN"
F,CN1817300000000,"Warrick County, IN"
F,CN1817500000000,"Washington County, IN"
F,CN1817700000000,"Wayne County, IN"
F,CN1817900000000,"Wells County, IN"
F,CN1818100000000,"White County, IN"
F,CN1818300000000,"Whitley County, IN"
F,CN1900100000000,"Adair County, IA"
F,CN1900300000000,"Adams County, IA"
F,CN1900500000000,"Allamakee County, IA"
F,CN1900700000000,"Appanoose County, IA"
F,CN1900900000000,"Audubon County, IA"
F,CN1901100000000,"Benton County, IA"
F,CN1901300000000,"Black Hawk County, IA"
F,CN1901500000000,"Boone County, IA"
F,CN1901700000000,"Bremer County, IA"
F,CN1901900000000,"Buchanan County, IA"
F,CN1902100000000,"Buena Vista County, IA"
F,CN1902300000000,"Butler County, IA"
F,CN1902500000000,"Calhoun County, IA"
F,CN1902700000000,"Carroll County, IA"
F,CN1902900000000,"Cass County, IA"
F,CN1903100000000,"Cedar County, IA"
F,CN1903300000000,"Cerro Gordo County, IA"
F,CN1903500000000,"Cherokee County, IA"
F,CN1903700000000,"Chickasaw County, IA"
F,CN1903900000000,"Clarke County, IA"
F,CN1904100000000,"Clay County, IA"
F,CN1904300000000,"Clayton County, IA"
F,CN1904500000000,"Clinton County, IA"
F,CN1904700000000,"Crawford County, IA"
F,CN1904900000000,"Dallas County, IA"
F,CN1905100000000,"Davis County, IA"
F,CN1905300000000,"Decatur County, IA"
F,CN1905500000000,"Delaware County, IA"
F,CN1905700000000,"Des Moines County, IA"
F,CN1905900000000,"Dickinson County, IA"
F,CN1906100000000,"Dubuque County, IA"
F,CN1906300000000,"Emmet County, IA"
F,CN1906500000000,"Fayette County, IA"
F,CN1906700000000,"Floyd County, IA"
F,CN1906900000000,"Franklin County, IA"
F,CN1907100000000,"Fremont County, IA"
F,CN1907300000000,"Greene County, IA"
F,CN1907500000000,"Grundy County, IA"
F,CN1907700000000,"Guthrie County, IA"
F,CN1907900000000,"Hamilton County, IA"
F,CN1908100000000,"Hancock County, IA"
F,CN1908300000000,"Hardin County, IA"
F,CN1908500000000,"Harrison County, IA"
F,CN1908700000000,"Henry County, IA"
F,CN1908900000000,"Howard County, IA"
F,CN1909100000000,"Humboldt County, IA"
F,CN1909300000000,"Ida County, IA"
F,CN1909500000000,"Iowa County, IA"
F,CN1909700000000,"Jackson County, IA"
F,CN1909900000000,"Jasper County, IA"
F,CN1910100000000,"Jefferson County, IA"
F,CN1910300000000,"Johnson County, IA"
F,CN1910500000000,"Jones County, IA"
F,CN1910700000000,"Keokuk County, IA"
F,CN1910900000000,"Kossuth County, IA"
F,CN1911100000000,"Lee County, IA"
F,CN1911300000000,"Linn County, IA"
F,CN1911500000000,"Louisa County, IA"
F,CN1911700000000,"Lucas County, IA"
F,CN1911900000000,"Lyon County, IA"
F,CN1912100000000,"Madison County, IA"
F,CN1912300000000,"Mahaska County, IA"
F,CN1912500000000,"Marion County, IA"
F,CN1912700000000,"Marshall County, IA"
F,CN1912900000000,"Mills County, IA"
F,CN1913100000000,"Mitchell County, IA"
F,CN1913300000000,"Monona County, IA"
F,CN1913500000000,"Monroe County, IA"
F,CN1913700000000,"Montgomery County, IA"
F,CN1913900000000,"Muscatine County, IA"
F,CN1914100000000,"O'Brien County, IA"
F,CN1914300000000,"Osceola County, IA"
F,CN1914500000000,"Page County, IA"
F,CN1914700000000,"Palo Alto County, IA"
F,CN1914900000000,"Plymouth County, IA"
F,CN1915100000000,"Pocahontas County, IA"
F,CN1915300000000,"Polk County, IA"
F,CN1915500000000,"Pottawattamie County, IA"
F,CN1915700000000,"Poweshiek County, IA"
F,CN1915900000000,"Ringgold County, IA"
F,CN1916100000000,"Sac County, IA"
F,CN1916300000000,"Scott County, IA"
F,CN1916500000000,"Shelby County, IA"
F,CN1916700000000,"Sioux County, IA"
F,CN1916900000000,"Story County, IA"
F,CN1917100000000,"Tama County, IA"
F,CN1917300000000,"Taylor County, IA"
F,CN1917500000000,"Union County, IA"
F,CN1917700000000,"Van Buren County, IA"
F,CN1917900000000,"Wapello County, IA"
F,CN1918100000000,"Warren County, IA"
F,CN1918300000000,"Washington County, IA"
F,CN1918500000000,"Wayne County, IA"
F,CN1918700000000,"Webster County, IA"
F,CN1918900000000,"Winnebago County, IA"
F,CN1919100000000,"Winneshiek County, IA"
F,CN1919300000000,"Woodbury County, IA"
F,CN1919500000000,"Worth County, IA"
F,CN1919700000000,"Wright County, IA"
F,CN2000100000000,"Allen County, KS"
F,CN2000300000000,"Anderson County, KS"
F,CN2000500000000,"Atchison County, KS"
F,CN2000700000000,"Barber County, KS"
F,CN2000900000000,"Barton County, KS"
F,CN2001100000000,"Bourbon County, KS"
F,CN2001300000000,"Brown County, KS"
F,CN2001500000000,"Butler County, KS"
F,CN2001700000000,"Chase County, KS"
F,CN2001900000000,"Chautauqua County, KS"
F,CN2002100000000,"Cherokee County, KS"
F,CN2002300000000,"Cheyenne County, KS"
F,CN2002500000000,"Clark County, KS"
F,CN2002700000000,"Clay County, KS"
F,CN2002900000000,"Cloud County, KS"
F,CN2003100000000,"Coffey County, KS"
F,CN2003300000000,"Comanche County, KS"
F,CN2003500000000,"Cowley County, KS"
F,CN2003700000000,"Crawford County, KS"
F,CN2003900000000,"Decatur County, KS"
F,CN2004100000000,"Dickinson County, KS"
F,CN2004300000000,"Doniphan County, KS"
F,CN2004500000000,"Douglas County, KS"
F,CN2004700000000,"Edwards County, KS"
F,CN2004900000000,"Elk County, KS"
F,CN2005100000000,"Ellis County, KS"
F,CN2005300000000,"Ellsworth County, KS"
F,CN2005500000000,"Finney County, KS"
F,CN2005700000000,"Ford County, KS"
F,CN2005900000000,"Franklin County, KS"
F,CN2006100000000,"Geary County, KS"
F,CN2006300000000,"Gove County, KS"
F,CN2006500000000,"Graham County, KS"
F,CN2006700000000,"Grant County, KS"
F,CN2006900000000,"Gray County, KS"
F,CN2007100000000,"Greeley County, KS"
F,CN2007300000000,"Greenwood County, KS"
F,CN2007500000000,"Hamilton County, KS"
F,CN2007700000000,"Harper County, KS"
F,CN2007900000000,"Harvey County, KS"
F,CN2008100000000,"Haskell County, KS"
F,CN2008300000000,"Hodgeman County, KS"
F,CN2008500000000,"Jackson County, KS"
F,CN2008700000000,"Jefferson County, KS"
F,CN2008900000000,"Jewell County, KS"
F,CN2009100000000,"Johnson County, KS"
F,CN2009300000000,"Kearny County, KS"
F,CN2009500000000,"Kingman County, KS"
F,CN2009700000000,"Kiowa County, KS"
F,CN2009900000000,"Labette County, KS"
F,CN2010100000000,"Lane County, KS"
F,CN2010300000000,"Leavenworth County, KS"
F,CN2010500000000,"Lincoln County, KS"
F,CN2010700000000,"Linn County, KS"
F,CN2010900000000,"Logan County, KS"
F,CN2011100000000,"Lyon County, KS"
F,CN2011300000000,"McPherson County, KS"
F,CN2011500000000,"Marion County, KS"
F,CN2011700000000,"Marshall County, KS"
F,CN2011900000000,"Meade County, KS"
F,CN2012100000000,"Miami County, KS"
F,CN2012300000000,"Mitchell County, KS"
F,CN2012500000000,"Montgomery County, KS"
F,CN2012700000000,"Morris County, KS"
F,CN2012900000000,"Morton County, KS"
F,CN2013100000000,"Nemaha County, KS"
F,CN2013300000000,"Neosho County, KS"
F,CN2013500000000,"Ness County, KS"
F,CN2013700000000,"Norton County, KS"
F,CN2013900000000,"Osage County, KS"
F,CN2014100000000,"Osborne County, KS"
F,CN2014300000000,"Ottawa County, KS"
F,CN2014500000000,"Pawnee County, KS"
F,CN2014700000000,"Phillips County, KS"
F,CN2014900000000,"Pottawatomie County, KS"
F,CN2015100000000,"Pratt County, KS"
F,CN2015300000000,"Rawlins County, KS"
F,CN2015500000000,"Reno County, KS"
F,CN2015700000000,"Republic County, KS"
F,CN2015900000000,"Rice County, KS"
F,CN2016100000000,"Riley County, KS"
F,CN2016300000000,"Rooks County, KS"
F,CN2016500000000,"Rush County, KS"
F,CN2016700000000,"Russell County, KS"
F,CN2016900000000,"Saline County, KS"
F,CN2017100000000,"Scott County, KS"
F,CN2017300000000,"Sedgwick County, KS"
F,CN2017500000000,"Seward County, KS"
F,CN2017700000000,"Shawnee County, KS"
F,CN2017900000000,"Sheridan County, KS"
F,CN2018100000000,"Sherman County, KS"
F,CN2018300000000,"Smith County, KS"
F,CN2018500000000,"Stafford County, KS"
F,CN2018700000000,"Stanton County, KS"
F,CN2018900000000,"Stevens County, KS"
F,CN2019100000000,"Sumner County, KS"
F,CN2019300000000,"Thomas County, KS"
F,CN2019500000000,"Trego County, KS"
F,CN2019700000000,"Wabaunsee County, KS"
F,CN2019900000000,"Wallace County, KS"
F,CN2020100000000,"Washington County, KS"
F,CN2020300000000,"Wichita County, KS"
F,CN2020500000000,"Wilson County, KS"
F,CN2020700000000,"Woodson County, KS"
F,CN2020900000000,"Wyandotte County, KS"
F,CN2100100000000,"Adair County, KY"
F,CN2100300000000,"Allen County, KY"
F,CN2100500000000,"Anderson County, KY"
F,CN2100700000000,"Ballard County, KY"
F,CN2100900000000,"Barren County, KY"
F,CN2101100000000,"Bath County, KY"
F,CN2101300000000,"Bell County, KY"
F,CN2101500000000,"Boone County, KY"
F,CN2101700000000,"Bourbon County, KY"
F,CN2101900000000,"Boyd County, KY"
F,CN2102100000000,"Boyle County, KY"
F,CN2102300000000,"Bracken County, KY"
F,CN2102500000000,"Breathitt County, KY"
F,CN2102700000000,"Breckinridge County, KY"
F,CN2102900000000,"Bullitt County, KY"
F,CN2103100000000,"Butler County, KY"
F,CN2103300000000,"Caldwell County, KY"
F,CN2103500000000,"Calloway County, KY"
F,CN2103700000000,"Campbell County, KY"
F,CN2103900000000,"Carlisle County, KY"
F,CN2104100000000,"Carroll County, KY"
F,CN2104300000000,"Carter County, KY"
F,CN2104500000000,"Casey County, KY"
F,CN2104700000000,"Christian County, KY"
F,CN2104900000000,"Clark County, KY"
F,CN2105100000000,"Clay County, KY"
F,CN2105300000000,"Clinton County, KY"
F,CN2105500000000,"Crittenden County, KY"
F,CN2105700000000,"Cumberland County, KY"
F,CN2105900000000,"Daviess County, KY"
F,CN2106100000000,"Edmonson County, KY"
F,CN2106300000000,"Elliott County, KY"
F,CN2106500000000,"Estill County, KY"
F,CN2106700000000,"Fayette County, KY"
F,CN2106900000000,"Fleming County, KY"
F,CN2107100000000,"Floyd County, KY"
F,CN2107300000000,"Franklin County, KY"
F,CN2107500000000,"Fulton County, KY"
F,CN2107700000000,"Gallatin County, KY"
F,CN2107900000000,"Garrard County, KY"
F,CN2108100000000,"Grant County, KY"
F,CN2108300000000,"Graves County, KY"
F,CN2108500000000,"Grayson County, KY"
F,CN2108700000000,"Green County, KY"
F,CN2108900000000,"Greenup County, KY"
F,CN2109100000000,"Hancock County, KY"
F,CN2109300000000,"Hardin County, KY"
F,CN2109500000000,"Harlan County, KY"
F,CN2109700000000,"Harrison County, KY"
F,CN2109900000000,"Hart County, KY"
F,CN2110100000000,"Henderson County, KY"
F,CN2110300000000,"Henry County, KY"
F,CN2110500000000,"Hickman County, KY"
F,CN2110700000000,"Hopkins County, KY"
F,CN2110900000000,"Jackson County, KY"
F,CN2111100000000,"Jefferson County, KY"
F,CN2111300000000,"Jessamine County, KY"
F,CN2111500000000,"Johnson County, KY"
F,CN2111700000000,"Kenton County, KY"
F,CN2111900000000,"Knott County, KY"
F,CN2112100000000,"Knox County, KY"
F,CN2112300000000,"Larue County, KY"
F,CN2112500000000,"Laurel County, KY"
F,CN2112700000000,"Lawrence County, KY"
F,CN2112900000000,"Lee County, KY"
F,CN2113100000000,"Leslie County, KY"
F,CN2113300000000,"Letcher County, KY"
F,CN2113500000000,"Lewis County, KY"
F,CN2113700000000,"Lincoln County, KY"
F,CN2113900000000,"Livingston County, KY"
F,CN2114100000000,"Logan County, KY"
F,CN2114300000000,"Lyon County, KY"
F,CN2114500000000,"McCracken County, KY"
F,CN2114700000000,"McCreary County, KY"
F,CN2114900000000,"McLean County, KY"
F,CN2115100000000,"Madison County, KY"
F,CN2115300000000,"Magoffin County, KY"
F,CN2115500000000,"Marion County, KY"
F,CN2115700000000,"Marshall County, KY"
F,CN2115900000000,"Martin County, KY"
F,CN2116100000000,"Mason County, KY"
F,CN2116300000000,"Meade County, KY"
F,CN2116500000000,"Menifee County, KY"
F,CN2116700000000,"Mercer County, KY"
F,CN2116900000000,"Metcalfe County, KY"
F,CN2117100000000,"Monroe County, KY"
F,CN2117300000000,"Montgomery County, KY"
F,CN2117500000000,"Morgan County, KY"
F,CN2117700000000,"Muhlenberg County, KY"
F,CN2117900000000,"Nelson County, KY"
F,CN2118100000000,"Nicholas County, KY"
F,CN2118300000000,"Ohio County, KY"
F,CN2118500000000,"Oldham County, KY"
F,CN2118700000000,"Owen County, KY"
F,CN2118900000000,"Owsley County, KY"
F,CN2119100000000,"Pendleton County, KY"
F,CN2119300000000,"Perry County, KY"
F,CN2119500000000,"Pike County, KY"
F,CN2119700000000,"Powell County, KY"
F,CN2119900000000,"Pulaski County, KY"
F,CN2120100000000,"Robertson County, KY"
F,CN2120300000000,"Rockcastle County, KY"
F,CN2120500000000,"Rowan County, KY"
F,CN2120700000000,"Russell County, KY"
F,CN2120900000000,"Scott County, KY"
F,CN2121100000000,"Shelby County, KY"
F,CN2121300000000,"Simpson County, KY"
F,CN2121500000000,"Spencer County, KY"
F,CN2121700000000,"Taylor County, KY"
F,CN2121900000000,"Todd County, KY"
F,CN2122100000000,"Trigg County, KY"
F,CN2122300000000,"Trimble County, KY"
F,CN2122500000000,"Union County, KY"
F,CN2122700000000,"Warren County, KY"
F,CN2122900000000,"Washington County, KY"
F,CN2123100000000,"Wayne County, KY"
F,CN2123300000000,"Webster County, KY"
F,CN2123500000000,"Whitley County, KY"
F,CN2123700000000,"Wolfe County, KY"
F,CN2123900000000,"Woodford County, KY"
F,CN2200100000000,"Acadia Parish, LA"
F,CN2200300000000,"Allen Parish, LA"
F,CN2200500000000,"Ascension Parish, LA"
F,CN2200700000000,"Assumption Parish, LA"
F,CN2200900000000,"Avoyelles Parish, LA"
F,CN2201100000000,"Beauregard Parish, LA"
F,CN2201300000000,"Bienville Parish, LA"
F,CN2201500000000,"Bossier Parish, LA"
F,CN2201700000000,"Caddo Parish, LA"
F,CN2201900000000,"Calcasieu Parish, LA"
F,CN2202100000000,"Caldwell Parish, LA"
F,CN2202300000000,"Cameron Parish, LA"
F,CN2202500000000,"Catahoula Parish, LA"
F,CN2202700000000,"Claiborne Parish, LA"
F,CN2202900000000,"Concordia Parish, LA"
F,CN2203100000000,"De Soto Parish, LA"
F,CN2203300000000,"East Baton Rouge Parish, LA"
F,CN2203500000000,"East Carroll Parish, LA"
F,CN2203700000000,"East Feliciana Parish, LA"
F,CN2203900000000,"Evangeline Parish, LA"
F,CN2204100000000,"Franklin Parish, LA"
F,CN2204300000000,"Grant Parish, LA"
F,CN2204500000000,"Iberia Parish, LA"
F,CN2204700000000,"Iberville Parish, LA"
F,CN2204900000000,"Jackson Parish, LA"
F,CN2205100000000,"Jefferson Parish, LA"
F,CN2205300000000,"Jefferson Davis Parish, LA"
F,CN2205500000000,"Lafayette Parish, LA"
F,CN2205700000000,"Lafourche Parish, LA"
F,CN2205900000000,"LaSalle Parish, LA"
F,CN2206100000000,"Lincoln Parish, LA"
F,CN2206300000000,"Livingston Parish, LA"
F,CN2206500000000,"Madison Parish, LA"
F,CN2206700000000,"Morehouse Parish, LA"
F,CN2206900000000,"Natchitoches Parish, LA"
F,CN2207100000000,"Orleans Parish, LA"
F,CN2207300000000,"Ouachita Parish, LA"
F,CN2207500000000,"Plaquemines Parish, LA"
F,CN2207700000000,"Pointe Coupee Parish, LA"
F,CN2207900000000,"Rapides Parish, LA"
F,CN2208100000000,"Red River Parish, LA"
F,CN2208300000000,"Richland Parish, LA"
F,CN2208500000000,"Sabine Parish, LA"
F,CN2208700000000,"St. Bernard Parish, LA"
F,CN2208900000000,"St. Charles Parish, LA"
F,CN2209100000000,"St. Helena Parish, LA"
F,CN2209300000000,"St. James Parish, LA"
F,CN2209500000000,"St. John the Baptist Parish, LA"
F,CN2209700000000,"St. Landry Parish, LA"
F,CN2209900000000,"St. Martin Parish, LA"
F,CN2210100000000,"St. Mary Parish, LA"
F,CN2210300000000,"St. Tammany Parish, LA"
F,CN2210500000000,"Tangipahoa Parish, LA"
F,CN2210700000000,"Tensas Parish, LA"
F,CN2210900000000,"Terrebonne Parish, LA"
F,CN2211100000000,"Union Parish, LA"
F,CN2211300000000,"Vermilion Parish, LA"
F,CN2211500000000,"Vernon Parish, LA"
F,CN2211700000000,"Washington Parish, LA"
F,CN2211900000000,"Webster Parish, LA"
F,CN2212100000000,"West Baton Rouge Parish, LA"
F,CN2212300000000,"West Carroll Parish, LA"
F,CN2212500000000,"West Feliciana Parish, LA"
F,CN2212700000000,"Winn Parish, LA"
F,CN2300100000000,"Androscoggin County, ME"
F,CN2300300000000,"Aroostook County, ME"
F,CN2300500000000,"Cumberland County, ME"
F,CN2300700000000,"Franklin County, ME"
F,CN2300900000000,"Hancock County, ME"
F,CN2301100000000,"Kennebec County, ME"
F,CN2301300000000,"Knox County, ME"
F,CN2301500000000,"Lincoln County, ME"
F,CN2301700000000,"Oxford County, ME"
F,CN2301900000000,"Penobscot County, ME"
F,CN2302100000000,"Piscataquis County, ME"
F,CN2302300000000,"Sagadahoc County, ME"
F,CN2302500000000,"Somerset County, ME"
F,CN2302700000000,"Waldo County, ME"
F,CN2302900000000,"Washington County, ME"
F,CN2303100000000,"York County, ME"
F,CN2400100000000,"Allegany County, MD"
F,CN2400300000000,"Anne Arundel County, MD"
F,CN2400500000000,"Baltimore County, MD"
F,CN2400900000000,"Calvert County, MD"
F,CN2401100000000,"Caroline County, MD"
F,CN2401300000000,"Carroll County, MD"
F,CN2401500000000,"Cecil County, MD"
F,CN2401700000000,"Charles County, MD"
F,CN2401900000000,"Dorchester County, MD"
F,CN2402100000000,"Frederick County, MD"
F,CN2402300000000,"Garrett County, MD"
F,CN2402500000000,"Harford County, MD"
F,CN2402700000000,"Howard County, MD"
F,CN2402900000000,"Kent County, MD"
F,CN2403100000000,"Montgomery County, MD"
F,CN2403300000000,"Prince George's County, MD"
F,CN2403500000000,"Queen Anne's County, MD"
F,CN2403700000000,"St. Mary's County, MD"
F,CN2403900000000,"Somerset County, MD"
F,CN2404100000000,"Talbot County, MD"
F,CN2404300000000,"Washington County, MD"
F,CN2404500000000,"Wicomico County, MD"
F,CN2404700000000,"Worcester County, MD"
F,CN2451000000000,"Baltimore city, MD"
F,CN2500100000000,"Barnstable County, MA"
F,CN2500300000000,"Berkshire County, MA"
F,CN2500500000000,"Bristol County, MA"
F,CN2500700000000,"Dukes County, MA"
F,CN2500900000000,"Essex County, MA"
F,CN2501100000000,"Franklin County, MA"
F,CN2501300000000,"Hampden County, MA"
F,CN2501500000000,"Hampshire County, MA"
F,CN2501700000000,"Middlesex County, MA"
F,CN2501900000000,"Nantucket County/town, MA"
F,CN2502100000000,"Norfolk County, MA"
F,CN2502300000000,"Plymouth County, MA"
F,CN2502500000000,"Suffolk County, MA"
F,CN2502700000000,"Worcester County, MA"
F,CN2600100000000,"Alcona County, MI"
F,CN2600300000000,"Alger County, MI"
F,CN2600500000000,"Allegan County, MI"
F,CN2600700000000,"Alpena County, MI"
F,CN2600900000000,"Antrim County, MI"
F,CN2601100000000,"Arenac County, MI"
F,CN2601300000000,"Baraga County, MI"
F,CN2601500000000,"Barry County, MI"
F,CN2601700000000,"Bay County, MI"
F,CN2601900000000,"Benzie County, MI"
F,CN2602100000000,"Berrien County, MI"
F,CN2602300000000,"Branch County, MI"
F,CN2602500000000,"Calhoun County, MI"
F,CN2602700000000,"Cass County, MI"
F,CN2602900000000,"Charlevoix County, MI"
F,CN2603100000000,"Cheboygan County, MI"
F,CN2603300000000,"Chippewa County, MI"
F,CN2603500000000,"Clare County, MI"
F,CN2603700000000,"Clinton County, MI"
F,CN2603900000000,"Crawford County, MI"
F,CN2604100000000,"Delta County, MI"
F,CN2604300000000,"Dickinson County, MI"
